genres,imdb_score
history,7.1497854077253225
war,7.088275862068965
documentation,7.04282208588957
animation,6.728802588996763
sport,6.711515151515152
crime,6.681192660550459
drama,6.656617381896862
music,6.6313901345291475
western,6.602439024390244
fantasy,6.582982171799027
scifi,6.580178571428571
european,6.5358916478555305
action,6.457380254154447
romance,6.437579617834395
reality,6.425000000000001
comedy,6.424302973977695
thriller,6.3594713656387665
family,6.337147595356551
horror,6.007438016528925
